,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Cluster
radius_mean,-0.21890244370000278,-0.23385713174743097,0.008531242840393452,-0.04140896232986665,0.037786353781438534,-0.01874079043143191,0.1240883402787969,-0.007452296219044868,0.22310976448431988,-0.09548644321512433,1
texture_mean,-0.10372457821570535,-0.059706088291729964,-0.06454990334677785,0.6030500005433045,-0.04946885047440616,0.03217883657195532,-0.011399538203625752,0.13067482515938084,-0.1126993903634682,-0.24093406602885636,0
perimeter_mean,-0.22753729300562506,-0.21518136139677152,0.009314219717503243,-0.041983099117243364,0.037374663204879234,-0.017308444908624723,0.11447705733003577,-0.018687258191061915,0.22373921345916933,-0.08638561504306498,1
area_mean,-0.22099498538593956,-0.2310767112838658,-0.028699525887530098,-0.053433795458130956,0.010331251394757306,0.0018877479598688467,0.051653427484581155,0.03467360379316847,0.19558601369731762,-0.07495648863896458,1
smoothness_mean,-0.14258969436023836,0.18611302267051966,0.10429190397861214,-0.15938276500645038,-0.365088527892423,0.2863744966127598,0.14066899279681178,-0.2889745750090011,-0.006424721942871092,0.06929268133751416,1
compactness_mean,-0.23928535395300077,0.1518916100733251,0.07409157085491844,-0.031794581125068055,0.011703971306950337,0.014130948872770478,-0.030918495975349507,-0.15139634976758312,0.16784142489656012,-0.01293619995191648,1
concavity_mean,-0.2584004812487715,0.06016536279866118,-0.002733837976509582,-0.01912275346579521,0.08637541178961673,0.009344180888767675,0.10752044338191685,-0.07282728527274365,-0.040591006372772166,0.13560229790758024,1
concave points_mean,-0.2608537583857401,-0.034767500493747494,0.025563540605733615,-0.06533594434061873,-0.04386102523914143,0.052049950467284486,0.15048221418137464,-0.1523224141489128,0.11197110597093597,-0.008054527751537727,1
symmetry_mean,-0.13816695930364964,0.19034877037225112,0.04023993630245287,-0.0671249839823372,-0.3059414282959261,-0.35645846074188364,0.09389113446845661,-0.23153098885253692,-0.2560400837330429,-0.5720694789930608,1
fractal_dimension_mean,-0.06436334637177461,0.3665754713782565,0.022574089700322608,-0.04858676491253831,-0.044424360183476605,0.11943066787075743,-0.29576002398124784,-0.1771214413479952,0.12374078850100197,-0.08110320721819061,1
radius_se,-0.20597877585525307,-0.10555215182583468,-0.26848138736883786,-0.09794124182013421,-0.15445649574996687,0.025603256068016098,-0.3124900373447324,0.02253996736989753,-0.2499850018106694,0.049547594068307506,1
texture_se,-0.0174280281489505,0.08997968182917024,-0.37463366510988766,0.3598555283463568,-0.19165050554468552,0.028747314514342304,0.09075535563787658,-0.4754131392643974,0.24664539678917938,0.2891427421955899,0
perimeter_se,-0.21132591637549417,-0.08945723422110402,-0.2666453672631177,-0.08899241460171639,-0.12099022034477216,-0.0018107150039186194,-0.31464039016168344,-0.011896690471746886,-0.22715402415201372,0.11450823563246591,1
area_se,-0.2028696354414044,-0.15229262810533814,-0.21600652839377862,-0.10820503862604636,-0.1275744319872568,0.04286390794509225,-0.3466790027837386,0.08580513450709239,-0.2291600153514969,0.09192788855956861,1
smoothness_se,-0.01453145214783753,0.20443045303003174,-0.30883897944528754,-0.04466417969775089,-0.23206567610642068,0.3429173934946095,0.24402405560211396,0.5734102315793334,0.1419248898650164,-0.1608846088662048,1
compactness_se,-0.17039345120745902,0.23271589619008087,-0.1547797178092235,0.027469363223809697,0.2799681555450445,-0.06919751855177651,-0.02346353403251536,0.11746015658206035,0.14532280978146983,-0.043504865831475344,1
concavity_se,-0.1535897897397901,0.1972072827112565,-0.17646374290239097,-0.0013168799657845627,0.3539820909594408,-0.05634323858230077,0.20882378974906943,0.06056650083124537,-0.35810707934039115,0.14127624339922057,1
concave points_se,-0.1834173969641288,0.13032155990732988,-0.22465756736383063,-0.07406733499254659,0.19554808851546654,0.031224448158387947,0.36964593685470937,-0.10831930935478817,-0.2725198864166192,-0.0862408469803599,1
symmetry_se,-0.042498421633038755,0.1838479999447372,-0.2885842924564042,-0.04407335099077596,-0.2528687649038556,-0.4902456425889953,0.08038225394202307,0.22014927893859146,0.30407720001572136,0.3165298298479883,1
fractal_dimension_se,-0.10256832209557656,0.280092026612386,-0.21150376449688668,-0.015304749562892888,0.26329743768128877,0.0531952674273677,-0.19139497256636315,0.011168188431033918,0.21372271621115832,-0.3675419184366905,1
radius_worst,-0.22799663423247218,-0.21986637929991082,0.04750699003918829,-0.015417239622751822,-0.004406592090461825,0.0002906849191583339,0.009709936015046255,0.04261941628684369,0.11214146271139097,-0.07736164277348657,1
texture_worst,-0.10446932545719397,-0.04546729826988919,0.042297822778488134,0.6328078847365116,-0.09288340014413358,0.050008061255662845,-0.009870743875487387,0.03625163600814237,-0.10334120435702486,-0.029550941287790636,0
perimeter_worst,-0.23663968074164488,-0.19987842794100014,0.04854650833626248,-0.01380279439812071,0.007454150995545545,-0.008500987151707587,0.00044572671669538665,0.030558533978804522,0.10961436375839684,-0.050508333526565585,1
area_worst,-0.2248705327342051,-0.21935185792265344,0.011902318190666207,-0.025894749168377085,-0.027390903040657243,0.02516438206720014,-0.06783165947634257,0.07939424562409672,0.08073246087169478,-0.06992115227341433,1
smoothness_worst,-0.127952561192859,0.1723043516517363,0.25979761329897616,-0.01765221608412032,-0.32443544530000656,0.36925537030527733,0.10883088645372417,0.2058521905011137,-0.11231590379764096,0.1283046589318322,1
compactness_worst,-0.2100958801578269,0.14359317327192545,0.23607562532670048,0.09132841531582186,0.121804106638581,-0.047705792915812124,-0.14047293807961822,0.08401965876542944,0.10067782184155764,0.17213363163952475,1
concavity_worst,-0.2287675328150094,0.0979641143357765,0.17305733538783155,0.07395117965243836,0.18851872684538967,-0.028379255451137356,0.06048805607342243,0.07246787139940415,-0.16190862147241677,0.3116385196917647,1
concave points_worst,-0.25088597121799716,-0.00825723506954508,0.17034407554928824,-0.006006995711507479,0.04333206873513483,0.03087344984034906,0.16796661874694616,-0.036170795421522545,-0.06048846153813142,0.07664829103689046,1
symmetry_worst,-0.12290455637796904,0.14188334860203777,0.2713126419381745,0.036250694701848524,-0.24455866327336886,-0.49892678446045247,0.018490629844905945,0.22822505343932092,-0.06463780610877845,0.029563075134031974,1
fractal_dimension_worst,-0.13178394287795875,0.27533946858058134,0.23279131250430812,0.07705347034463214,0.09442335097732779,0.080223524497184,-0.37465762605295405,0.04836066662233871,0.13417417486931293,-0.012609579122296743,1
